FID,OBJECTID_1,OBJECTID,id,name,citycode,lon,lat,name_1,province,city,management,year,volume,green,Shape_Leng,Shape_Area
0,125503,204284.000000000000000,B01D802478,振翔小区,150200,109.977000000000000,40.591999999999999,振翔小区,内蒙古自治区,包头市,暂无数据,2007,1.300000000000000,30%(一般),0.009554385557530,0.000000000000000
1,125505,204302.000000000000000,B01D8026P8,胜利佳苑,150200,109.805000000000010,40.673000000000002,胜利佳苑,内蒙古自治区,包头市,暂无数据,2000,0.000000000000000,10%(低),0.011393192543500,0.000000000000000
2,125525,204327.000000000000000,B01D802D9C,景苑花园,150200,109.855999999999990,40.640999999999998,景苑花园,内蒙古自治区,包头市,暂无数据,2007,1.610000000000000,40%(高),0.012567533840900,0.000000000000000
3,125544,204357.000000000000000,B01D802JVX,幸福路10号街坊,150200,109.869000000000000,40.659999999999997,幸福路10号街坊,内蒙古自治区,包头市,暂无数据,1998,0.000000000000000,暂无数据,0.008787141742950,0.000000000000000
4,125558,204382.000000000000000,B01D802QO7,金棕榈,150200,109.909000000000010,40.646999999999998,保利花园(五期),内蒙古自治区,包头市,1.20元/平米/月,2009,1.660000000000000,暂无数据,0.020020574334200,0.000000000000000
5,125559,204383.000000000000000,B01D802QO9,健康阳光城北区,150200,109.914000000000000,40.646999999999998,健康阳光城(北区),内蒙古自治区,包头市,2.00元/平米/月,2009,0.880000000000000,暂无数据,0.012936788927100,0.000000000000000
6,125581,204422.000000000000000,B01D803CL2,传媒大厦(富强中路),150200,109.858000000000000,40.646000000000001,传媒大厦,内蒙古自治区,包头市,暂无数据,2011,0.000000000000000,32%(一般),0.009943866417660,0.000000000000000
7,125610,204467.000000000000000,B01D80P2BI,当代左岸绿洲,150200,109.882000000000010,40.646000000000001,当代左岸绿洲,内蒙古自治区,包头市,1.20元/平米/月,2010,2.500000000000000,暂无数据,0.006832748683580,0.000000000000000
8,125611,204468.000000000000000,B01D80P2CN,三江尊园,150200,109.843999999999990,40.624000000000002,三江尊园(别墅),内蒙古自治区,包头市,2.00元/平米/月,2016,0.000000000000000,35%(一般),0.019386246862800,0.000000000000000
9,125628,204490.000000000000000,B01D80P5PN,万郡·大都城,150200,109.924000000000010,40.646999999999998,万郡大都城(别墅),内蒙古自治区,包头市,暂无数据,2014,0.000000000000000,暂无数据,0.021595496836000,0.000000000000000
10,125631,204493.000000000000000,B01D80P68Z,国安森林花园,150200,109.888000000000010,40.646000000000001,国安森林花园,内蒙古自治区,包头市,暂无数据,2010,2.500000000000000,暂无数据,0.007214686349090,0.000000000000000
11,125659,204556.000000000000000,B01D80PV76,正翔国际,150200,109.858999999999990,40.656999999999996,正翔国际悦嘉公寓,内蒙古自治区,包头市,2.40元/平米/月,2015,3.000000000000000,35%(一般),0.019699509309300,0.000000000000000
12,125660,204557.000000000000000,B01D80PVBE,天安雅居,150200,109.991000000000000,40.587000000000003,天安雅居,内蒙古自治区,包头市,0.50元/平米/月,2011,1.680000000000000,暂无数据,0.008183587396640,0.000000000000000
13,125667,204576.000000000000000,B01D80QEPF,昆河壹号,150200,109.795000000000000,40.670999999999999,昆河壹号,内蒙古自治区,包头市,暂无数据,2018,2.300000000000000,35%(一般),0.015777110283100,0.000000000000000
14,126393,206647.000000000000000,B0FFFCHXSB,中晟·华悦,150200,109.863000000000000,40.631999999999998,中晟华悦,内蒙古自治区,包头市,1.70元/平米/月,2017,2.240000000000000,35%(一般),0.010765155708500,0.000000000000000
15,126460,206805.000000000000000,B0FFFHUAHU,龙昱华府,150200,109.839000000000000,40.673999999999999,龙昱华府,内蒙古自治区,包头市,暂无数据,2015,0.000000000000000,暂无数据,0.005528091577490,0.000000000000000
16,126492,206858.000000000000000,B0FFFSCYX0,鹿苑康城,150200,110.009000000000000,40.634000000000000,鹿苑康城,内蒙古自治区,包头市,1.30元/㎡/月,2016,1.850000000000000,40%(高),0.011570544620100,0.000000000000000
17,126692,207210.000000000000000,B0FFG8TGYY,总部府邸(富林路),150200,109.846999999999990,40.633000000000003,总部经济园(商住楼),内蒙古自治区,包头市,2.00元/平米/月,2012,1.380000000000000,36%(一般),0.014723669992500,0.000000000000000
18,126698,207217.000000000000000,B0FFG8TNIY,呼得木林新天地,150200,109.887000000000000,40.671999999999997,呼得木林新天地,内蒙古自治区,包头市,1.80元/平米/月,2016,0.000000000000000,30%(一般),0.013377083992400,0.000000000000000
19,126770,207353.000000000000000,B0FFGED0VH,天福广场-住宅楼,150200,109.933000000000010,40.625000000000000,天福广场,内蒙古自治区,包头市,2.50元/平米/月,2013,5.000000000000000,35%(一般),0.013329311922700,0.000000000000000
20,126855,207537.000000000000000,B0FFGYMQP9,包头碧桂园,150200,109.834000000000000,40.723999999999997,天龙青山尚,内蒙古自治区,包头市,3.50元/平米/月,2012,0.500000000000000,50%(高),0.030564141938700,0.000000000000000
21,127020,207877.000000000000000,B0FFHM37C9,包头恒大天玺(建设中),150200,109.810000000000000,40.628999999999998,恒大天玺,内蒙古自治区,包头市,2.50元/平米/月,2016,3.000000000000000,35%(一般),0.010935669838700,0.000000000000000
22,127027,207887.000000000000000,B0FFHNGBPA,滨河风景,150200,109.927000000000010,40.572000000000003,滨河风景,内蒙古自治区,包头市,2.00元/平米/月,2018,1.700000000000000,40%(高),0.015001863537000,0.000000000000000
23,127075,208029.000000000000000,B0FFI24D4F,邦成·宫园墅,150200,109.918000000000010,40.618000000000002,邦成宫园墅(公寓),内蒙古自治区,包头市,暂无数据,2018,1.200000000000000,35%(一般),0.010391714612000,0.000000000000000
